conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1833437298844918128,Tue Sep 10 09:28:10 +0000 2024,61,Masih menyayangkan ada yg bilang &amp; mengkotak kotakkan naturalisasi &amp; lokal Apa yg salah?? Mereka WNI mereka punya dokumen sbg WNI mereka semua timnas Indonesia mereka sama dpt porsi yg sama Harusnya gk ada komen begitu lebih baik support as team as Indonesia,1833437298844918128,,,in,🐱🦢,0,2,16,https://x.com/NATHANPROTECT/status/1833437298844918128,1741765945645989888,NATHANPROTECT
1833434987221143848,Tue Sep 10 09:18:59 +0000 2024,59,Timnas yg sekarang pinjam istilah nya Bapak si Fufufafa memang Bau bau Kolonial . Mereka memang naturalisasi tapi di pilih yg ada keturunan Indonesianya ada yg buyut atau nenek nya beberapa pemain ibu atau ayahnya asli Indonesia. Semoga menang mlm ini. 10/9.Jam 19.00.RCTI🇮🇩 https://t.co/MIbhloO1lD,1833434987221143848,https://pbs.twimg.com/ext_tw_video_thumb/1833434863967285248/pu/img/nEtslbYQJSQZ0one.jpg,,in,,1,2,11,https://x.com/liaasister/status/1833434987221143848,1637572714205421595,liaasister
1833433205028098390,Tue Sep 10 09:11:54 +0000 2024,0,sumpah aneh bgt sama orang indonesia yg kritik timnas era sekarang kayak dude udah sampe sejauh kualifikasi round 3 loh ini???dulu2 mana bisa kita sampe sini kalo bukan karena apa?ya pelatih dan pemain naturalisasi..,1833433205028098390,,,in,,0,0,0,https://x.com/feelin_goood/status/1833433205028098390,372714806,feelin_goood
1833430522888130832,Tue Sep 10 09:01:14 +0000 2024,0,Prediksi Starting Line Up Timnas Indonesia vs Australia ala Media Vietnam Shin Tae-yong Diperkirakan akan Turunkan Pemain yang : Bertambahnya pemain naturalisasi asal Eropa membuat Timnas Indonesia berhasil menciptakan kejutan di laga pembuka Grup C https://t.co/U6rBtbaToz https://t.co/kTVQx5TFzP,1833430522888130832,https://pbs.twimg.com/media/GXGnWGwbEAASllF.jpg,,in,"Pulo Gadung, Indonesia",0,0,0,https://x.com/tvOneNews/status/1833430522888130832,55507370,tvOneNews
1833429200403153402,Tue Sep 10 08:55:59 +0000 2024,4,Masih menyoal naturalisasi kenapa saat timnas mau main harus gitu bahas naturalisasi mulu padahal naturalisasi sekarang lebih ke heritage player ketimbang pemain asing liga Indonesia.,1833429200403153402,,,in,,0,2,2,https://x.com/BuzzerShestar/status/1833429200403153402,1296736516161454080,BuzzerShestar
1833404630518403355,Tue Sep 10 07:18:21 +0000 2024,0,Prancis sudah juara 2x Piala Dunia dengan para pemain Imigrannya. Warga Indonesia masih pro kontra dengan Timnas Indonesia yg berisi pemain pemain blasteran. Pemain blasteran imigran dan naturalisasi adalah serupa tapi tak sama.,1833404630518403355,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/ronce_/status/1833404630518403355,79231874,ronce_
1833401304468877633,Tue Sep 10 07:05:08 +0000 2024,0,Dikenal sebagai Pemain Mualaf Diego Michiels Menilai Timnas Indonesia Sekarang Beda dengan Dulu: Sudah Open Minded Butuh Pemain Naturalisasi untuk Tingkatkan Kualitas: Bukan hanya karena kemampuannya tapi juga dikenal sebagai pemain mualaf dan https://t.co/SSHz43nZLo https://t.co/g8XeJiilM3,1833401304468877633,https://pbs.twimg.com/media/GXGMxVrbEAIJhSK.jpg,,in,"Pulo Gadung, Indonesia",0,0,0,https://x.com/tvOneNews/status/1833401304468877633,55507370,tvOneNews
1833400562899161342,Tue Sep 10 07:02:11 +0000 2024,0,3 Faktor Semua Pemain Naturalisasi Timnas Indonesia Bisa Hafal Lagu Indonesia Raya https://t.co/TjNYTbiJWb,1833400562899161342,,,in,"Jakarta Pusat, DKI Jakarta",0,0,0,https://x.com/SINDOnews/status/1833400562899161342,231355136,SINDOnews
1833399999612203125,Tue Sep 10 06:59:57 +0000 2024,0,3 Faktor Semua Pemain Naturalisasi Timnas Indonesia Bisa Hafal Lagu Indonesia Raya https://t.co/vWwIoOOE1y,1833399999612203125,,,in,,0,0,0,https://x.com/PontiDaily/status/1833399999612203125,1710150884292997120,PontiDaily
1833390478856954311,Tue Sep 10 06:49:43 +0000 2024,0,@TheIndoLad Trus ada pepatah yang bilang Timnas Indonesia itu milik Orang Jakarta . Mungkin karena ini urang banung jadi cuek soal Timnas bukan sekarang2 aja karena banyak nya pemain naturalisasi di Timnas.,1833397424553115774,,ekuzpratamax,in,Indonesia,0,1,0,https://x.com/ekuzpratamax/status/1833397424553115774,1035525725007241216,ekuzpratamax
1833113922737742193,Mon Sep 09 12:03:11 +0000 2024,1,3 Perbedaan Pemain Naturalisasi Timnas Indonesia dan Malaysia Salah Satunya soal Lagu Kebangsaan https://t.co/Tu6HjaMx3k,1833113922737742193,,,in,"Jakarta Pusat, DKI Jakarta",0,0,0,https://x.com/SINDOnews/status/1833113922737742193,231355136,SINDOnews
1833111840177672212,Mon Sep 09 11:54:54 +0000 2024,0,Tetap bangga karena mereka juga keturunan Indonesia(blasteran) bahkan Timnas Perancis itu hampir 90% naturalisasi.. Bedanya kalau Indonesia masih ada darah Indonesia nya kalau Perancis atau Maroko mereka benar -benar mengambil pemain asing(tidak ada darah Perancis),1833111840177672212,,,in,,0,0,0,https://x.com/Do12aemon/status/1833111840177672212,4214266033,Do12aemon
1832587725620572320,Mon Sep 09 10:35:22 +0000 2024,1,@pray_thekid Kalo mereka yg naturalisasi aja bangga membela Indonesia apalagi kita yg pendukung timnas tercinta ️,1833091822018863466,,pray_thekid,in,Bumi Allah,0,0,0,https://x.com/Jamal_El_Lail86/status/1833091822018863466,807211165,Jamal_El_Lail86
1833086770835312726,Mon Sep 09 10:15:17 +0000 2024,1,6 Pemain Naturalisasi Timnas Indonesia yang Siap Kejutkan Australia di Kualifikasi Piala Dunia 2026 Nomor 1 Maarten Paes! https://t.co/arypIF7kBW,1833086770835312726,,,in,Jakarta,0,0,0,https://x.com/okezonenews/status/1833086770835312726,47274731,okezonenews
1833085038486806853,Mon Sep 09 10:08:24 +0000 2024,46,Shin Tae Yong berharap dua pemain naturalisasi Mees Hilgers dan Eliano Reijnders bisa membela Timnas Indonesia pada November mendatang 🇮🇩⁣ ⁣ Siapa yang gak sabar dengan dua pemain ini detikers? ⁣ ⁣ #TimnasIndonesia #ShinTaeyong #MeesHilgers #ElianoReijnders #detiksport https://t.co/QRfUrMrNoD,1833085038486806853,https://pbs.twimg.com/media/GXBtHjbWgAAU7Dp.jpg,,in,Jakarta,0,0,10,https://x.com/detiksport/status/1833085038486806853,135783107,detiksport
1832587725620572320,Mon Sep 09 10:07:28 +0000 2024,0,@pray_thekid Bangga sih kapan lagi Indonesia bisa seperti ini Lagian mereka bukan naturalisasi mereka masih punya darah Indonesia cuma mereka kalah saing aja di eropa tapi worth it sih buat timnas Indonesia,1833084803203399760,,pray_thekid,in,,0,0,0,https://x.com/tanjungh418/status/1833084803203399760,1481280964899000324,tanjungh418
1833083065343807871,Mon Sep 09 10:00:34 +0000 2024,0,Kiper naturalisasi Timnas Indonesia Maarten Paes mengaku tak sabar merasakan atmosfer Stadion Utama Gelora Bung Karno (SUGBK) Selengkapnya https://t.co/thasXDYCfc,1833083065343807871,,,in,JAKARTA,0,0,0,https://x.com/tribunSUPERBALL/status/1833083065343807871,626306017,tribunSUPERBALL
1832587725620572320,Mon Sep 09 09:45:43 +0000 2024,1,@pray_thekid Bangga lah Walaupun mereka naturalisasi tp kan didalam darah nya ada darah Indonesia Entah itu turunan dari nenek kakek ibu atau ayah nya Dan klo pun yg main lokal semua blm tentu timnas Indonesia bisa sampai di titik ini,1833079329292779537,,pray_thekid,in,,0,1,0,https://x.com/do__timjang/status/1833079329292779537,1168891992845312007,do__timjang
1833078790643482767,Mon Sep 09 09:43:35 +0000 2024,0,Kapten Borneo FC Soal Pemain Naturalisasi di Skuad Timnas Indonesia Dulu Diprotes Sekarang Dipuja https://t.co/mIGD88gDJI lewat @tribunnews #BorneoFC #TimnasIndonesia #TimnasDay,1833078790643482767,,,in,"Balikpapan, Indonesia",0,0,0,https://x.com/tribunkaltim/status/1833078790643482767,103551225,tribunkaltim
1832587725620572320,Mon Sep 09 08:43:27 +0000 2024,0,@pray_thekid Bangga dong itu Pemain Diaspora Kita (WNI Yang Bekerja/Berdomisilu di luar NKRI) Nah dari sederet Pemain keturunan yang merapar ke Timnas itu Murni Karena adanya Darah dr Indonesia bukan naturalisasi murni seperti *( C Gonzales x M Klok),1833063656625770921,,pray_thekid,in,"Trenggalek, Indonesia",0,0,0,https://x.com/indraachmadj29/status/1833063656625770921,783675384613056512,indraachmadj29
1833027923072397587,Mon Sep 09 07:46:50 +0000 2024,0,@hasyimmah Ini poinnya sebenernya bukan naturalisasi itu salah tapi lebih menyoroti indonesia terutama timnas itu penginnya instant dng menaturalisasi tapi enggan membuat pembinaan usia dini kasarnya timnas skrng jago karna pemain2nya jebolan luar dari akademinya luar kompetisinya luar,1833049412127674402,,hasyimmah,in,,0,0,0,https://x.com/akbarsuryaaa_/status/1833049412127674402,1479865628143931396,akbarsuryaaa_
1832587725620572320,Mon Sep 09 06:50:44 +0000 2024,0,@pray_thekid Bangga lah ngeliat skg indo udh bisa bersaing di kancah asia. Dan ini jg bisa dijadikan motivasi oleh pemain2 indonesia lainnya untuk ttp bersaing mendapatkan posisi starter. Daripada ribut naturalisasi ini lah itu lah bla bla mending support terus timnas tercinta kita ini!,1833035292619812895,,pray_thekid,in,"Manchester , UK",0,0,0,https://x.com/hizkiasabatha/status/1833035292619812895,224101951,hizkiasabatha
1832587725620572320,Mon Sep 09 05:18:31 +0000 2024,0,@pray_thekid Ya pasti bangga krn membawa bendera Timnas berkibar di dunia. Jgn lg sebut mereka pemain asing atau naturalisasi. Mereka itu punya darah dan sejarah Indonesia dr nenek moyangnya. THEY ARE INDONESIAN PEOPLE!!!,1833012084399047030,,pray_thekid,in,"Tangerang, Banten",0,0,0,https://x.com/aris_ramadhan13/status/1833012084399047030,588229644,aris_ramadhan13
1832587725620572320,Mon Sep 09 04:58:40 +0000 2024,0,@pray_thekid Sedih. Karena ini menunjukkan kalo lingkungan sepakbola di Indonesia terbilang tidak sehat karena timnas kudu naturalisasi WNI yg hidup/gede di negara orang,1833007087821177283,,pray_thekid,in,,0,0,0,https://x.com/Ayong_/status/1833007087821177283,147571790,Ayong_
1832587725620572320,Mon Sep 09 04:47:51 +0000 2024,0,@pray_thekid Buat mereka naturalisasi juga pilihan kalau ingin bermain di Tim Nasional sebuah negara. Karena kl di Timnas Belanda sudah full pemain grade A .,1833004369568309466,,pray_thekid,in,,0,0,0,https://x.com/Indonesia_malu/status/1833004369568309466,1810161919149715456,Indonesia_malu
1833003793711301049,Mon Sep 09 04:45:34 +0000 2024,0,Timnas Malaysia Datangkan 3 Pemain Naturalisasi Grade A Setelah Lewati Ranking FIFA Timnas Indonesia? https://t.co/G2bYlIZSZ9,1833003793711301049,,,in,Jakarta,0,0,0,https://x.com/okezonenews/status/1833003793711301049,47274731,okezonenews
1832587725620572320,Mon Sep 09 04:38:52 +0000 2024,0,@pray_thekid bangga karena mereka punya darah indonesia dan juga passion membela garuda sebelum mengkritisi naturalisasi coba lihat timnas prancis dari dulu bisa juara pildun karena diisi banyak pemain yang tidak memiliki darah prancis (imigran) nah timnas kita punya darah indonesia loh ,1833002105667568071,,pray_thekid,in,"Denpasar, Bali",0,0,0,https://x.com/apaini89246277/status/1833002105667568071,1241744914011979779,apaini89246277
1832985658677424608,Mon Sep 09 03:38:56 +0000 2024,0,Thailand Vietnam atau Malaysia setuju utk memberi apresiasi terhadap pencapaian timnas Indonesia saat ini. Tapi kalau merasa kita sudah bukan level mereka lagi rasanya terlalu berlebihan. Tanpa pemain naturalisasi timnas kita cuma sekelas Filippina. Silakan dibantah.,1832987025361756481,,90Decades,in,"Kalimantan Timur, Indonesia",0,0,0,https://x.com/90Decades/status/1832987025361756481,1814117205703081984,90Decades
1832985541895434561,Mon Sep 09 03:33:03 +0000 2024,0,Mees Hilgers dan Eliano OTW Naturalisasi STY Harap Bisa Perkuat Timnas Indonesia Pada November https://t.co/AL1PbzLMiG lewat @KanalnewsC #TimnasIndonesia #timnas,1832985541895434561,,,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/amelamalia2088/status/1832985541895434561,1334483117172670470,amelamalia2088
1832975788481937809,Mon Sep 09 02:54:17 +0000 2024,1,Mees Hilgers dan Eliano Reijnders dua calon bintang naturalisasi Timnas Indonesia kembali ke Belanda lebih awal dari yang diharapkan. Kedua pemain ini tak sempat menyaksikan langsung pertandingan Timnas Indonesia melawan Australia. https://t.co/9agalZLZ9R,1832975788481937809,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/nawabinekanews/status/1832975788481937809,1762043186598604800,nawabinekanews
1832975331684237418,Mon Sep 09 02:52:28 +0000 2024,4,Timnas Indonesia banyak diisi pemain keturunan atau naturalisasi di skuadnya. Kapten Australia Mathew Ryan mewaspadai hal itu. https://t.co/dtyoDYugA9,1832975331684237418,,,in,,0,1,0,https://x.com/detikcom/status/1832975331684237418,69183155,detikcom
